hanja,kor,radical,radical_name,stroke_count,level,rep_pron
家,집 가,宀,집 면,10,준7급,가
假,거짓 가,人,사람 인,11,준4급,가
街,거리 가,行,다닐 행|항렬 항,12,준4급,가
軻,수레/사람이름 가,車,수레 거/차,12,2급,가
暇,틈/겨를 가,日,날 일,13,4급,가
歌,노래 가,欠,하품 흠,14,7급,가
價,값 가,人,사람 인,15,준5급,가
加,더할 가,力,힘 력,5,5급,가
可,옳을 가,口,입 구,5,5급,가
伽,절 가,人,사람 인,7,2급,가
佳,아름다울 가,人,사람 인,8,준3급,가
架,시렁 가,木,나무 목,9,준3급,가
柯,가지 가,木,나무 목,9,2급,가
迦,부처이름 가,辵,쉬엄쉬엄갈 착,9,2급,가
脚,다리 각,肉,고기 육,11,준3급,각
閣,집 각,門,문 문,14,준3급,각
覺,깨달을 각,見,볼 견|뵈올 현,20,4급,각
各,각각 각,口,입 구,6,준6급,각
角,뿔 각,角,뿔 각,7,준6급,각
却,물리칠 각,卩,병부 절,7,3급,각
刻,새길 각,刀,칼 도,8,4급,각
珏,쌍옥 각,玉,구슬 옥,9,2급,각
間,사이 간,門,문 문,12,준7급,간
幹,줄기 간,干,방패 간,13,준3급,간
懇,간절할 간,心,마음 심,17,준3급,간
簡,대쪽/간략할 간,竹,대 죽,18,4급,간
干,방패 간,干,방패 간,3,4급,간
刊,새길 간,刀,칼 도,5,준3급,간
艮,괘이름 간,艮,괘이름 간,6,2급,간
肝,간 간,肉,고기 육,7,준3급,간
杆,몽둥이 간,木,나무 목,7,2급,간
姦,간음할 간,女,계집 녀,9,3급,간
看,볼 간,目,눈 목,9,4급,간
渴,목마를 갈,水,물 수,12,3급,갈
葛,칡 갈,艸,풀 초,13,2급,갈
鞨,오랑캐이름 갈,革,가죽 혁,18,2급,갈
敢,감히/구태여 감,攴,칠 복,12,4급,감
減,덜 감,水,물 수,12,준4급,감
感,느낄 감,心,마음 심,13,6급,감
監,볼 감,皿,그릇 명,14,준4급,감
憾,섭섭할 감,心,마음 심,16,2급,감
鑑,거울 감,金,쇠 금|성 김,22,준3급,감
甘,달 감,甘,달 감,5,4급,감
邯,조나라서울 한|사람이름 감,邑,고을 읍,8,2급,감
鉀,갑옷 갑,金,쇠 금|성 김,13,2급,갑
甲,갑옷 갑,田,밭 전,5,4급,갑
岬,곶 갑,山,메 산,8,2급,갑
剛,굳셀 강,刀,칼 도,10,준3급,강
強,강할 강,弓,활 궁,11,6급,강
康,편안 강,广,집 엄,11,준4급,강
崗,언덕 강,山,메 산,11,2급,강
綱,벼리 강,糸,실 사|가는실 멱,14,준3급,강
鋼,강철 강,金,쇠 금|성 김,16,준3급,강
彊,굳셀 강,弓,활 궁,16,2급,강
講,욀 강,言,말씀 언,17,준4급,강
疆,지경 강,田,밭 전,19,2급,강
江,강 강,水,물 수,6,준7급,강
岡,산등성이 강,山,메 산,8,2급,강
降,내릴 강|항복할 항,阜,언덕 부,9,4급,강
姜,성 강,女,계집 녀,9,2급,강
個,낱 개,人,사람 인,10,준4급,개
開,열 개,門,문 문,12,6급,개
塏,높은땅 개,土,흙 토,13,2급,개
慨,슬퍼할 개,心,마음 심,14,3급,개
蓋,덮을 개,艸,풀 초,14,준3급,개
槪,대개 개,木,나무 목,15,준3급,개
介,낄 개,人,사람 인,4,준3급,개
价,클 개,人,사람 인,6,2급,개
