hanja,kor,radical,radical_name,stroke_count,level,rep_pron
加,더할 가,力,힘 력,5,50,가
可,옳을 가,口,입 구,5,50,가
佳,아름다울 가,人,사람 인,8,31,가
架,시렁 가,木,나무 목,9,31,가
家,집 가,宀,집 면,10,71,가
假,거짓 가,人,사람 인,11,41,가
街,거리 가,行,다닐 행|항렬 항,12,41,가
暇,틈/겨를 가,日,날 일,13,40,가
歌,노래 가,欠,하품 흠,14,70,가
價,값 가,人,사람 인,15,51,가
各,각각 각,口,입 구,6,61,각
角,뿔 각,角,뿔 각,7,61,각
却,물리칠 각,卩,병부 절,7,30,각
刻,새길 각,刀,칼 도,8,40,각
脚,다리 각,肉,고기 육,11,31,각
閣,집 각,門,문 문,14,31,각
覺,깨달을 각,見,볼 견|뵈올 현,20,40,각
干,방패 간,干,방패 간,3,40,간
刊,새길 간,刀,칼 도,5,31,간
肝,간 간,肉,고기 육,7,31,간
姦,간음할 간,女,계집 녀,9,30,간
看,볼 간,目,눈 목,9,40,간
間,사이 간,門,문 문,12,71,간
幹,줄기 간,干,방패 간,13,31,간
懇,간절할 간,心,마음 심,17,31,간
簡,대쪽/간략할 간,竹,대 죽,18,40,간
渴,목마를 갈,水,물 수,12,30,갈
甘,달 감,甘,달 감,5,40,감
敢,감히/구태여 감,攴,칠 복,12,40,감
減,덜 감,水,물 수,12,41,감
感,느낄 감,心,마음 심,13,60,감
監,볼 감,皿,그릇 명,14,41,감
鑑,거울 감,金,쇠 금|성 김,22,31,감
甲,갑옷 갑,田,밭 전,5,40,갑
江,강 강,水,물 수,6,71,강
降,내릴 강|항복할 항,阜,언덕 부,9,40,강
剛,굳셀 강,刀,칼 도,10,31,강
強,강할 강,弓,활 궁,11,60,강
康,편안 강,广,집 엄,11,41,강
綱,벼리 강,糸,실 사|가는실 멱,14,31,강
鋼,강철 강,金,쇠 금|성 김,16,31,강
講,욀 강,言,말씀 언,17,41,강
介,낄 개,人,사람 인,4,31,개
改,고칠 개,攴,칠 복,7,50,개
皆,다 개,白,흰 백,9,30,개
個,낱 개,人,사람 인,10,41,개
開,열 개,門,문 문,12,60,개
慨,슬퍼할 개,心,마음 심,14,30,개
蓋,덮을 개,艸,풀 초,14,31,개
槪,대개 개,木,나무 목,15,31,개
客,손 객,宀,집 면,9,51,객
去,갈 거,厶,사사 사,5,50,거
巨,클 거,工,장인 공,5,40,거
拒,막을 거,手,손 수,8,40,거
居,살 거,尸,주검 시,8,40,거
距,상거할 거,足,발 족 / 족할 족,12,31,거
據,근거 거,手,손 수,16,40,거
擧,들 거,手,손 수,18,50,거
件,물건 건,人,사람 인,6,50,건
建,세울 건,廴,길게걸을 인,9,50,건
健,굳셀 건,人,사람 인,11,50,건
乾,하늘/마를 건,乙,둘째 천간 을,11,31,건
乞,빌 걸,乙,둘째 천간 을,3,30,걸
傑,뛰어날 걸,人,사람 인,12,40,걸
劍,칼 검,刀,칼 도,15,31,검
儉,검소할 검,人,사람 인,15,40,검
檢,검사할 검,木,나무 목,17,41,검
格,격식 격,木,나무 목,10,51,격
隔,사이뜰 격,阜,언덕 부,13,31,격
激,격할 격,水,물 수,16,40,격
擊,칠 격,手,손 수,17,40,격
犬,개 견,犬,개 견,4,40,견
見,볼 견|뵈올 현,見,볼 견|뵈올 현,7,51,견
肩,어깨 견,肉,고기 육,8,30,견
牽,이끌/끌 견,牛,소 우,11,30,견
堅,굳을 견,土,흙 토,11,40,견
絹,비단 견,糸,실 사|가는실 멱,13,30,견
遣,보낼 견,辵,쉬엄쉬엄갈 착,14,30,견
決,결단할 결,水,물 수,7,51,결
缺,이지러질 결,缶,장군 부,10,41,결
訣,이별할 결,言,말씀 언,11,31,결
結,맺을 결,糸,실 사|가는실 멱,12,51,결
潔,깨끗할 결,水,물 수,15,41,결
兼,겸할 겸,八,여덟 팔,10,31,겸
