hanja,h,k
家,宀,집 면
家,豕,돼지 시
歌,欠,하품 흠
歌,哥,노래 가
價,亻,사람인변 인
價,賈,값 가
加,力,힘 력(역)
加,口,입 구
可,𠮛,뜻 지
可,亅,갈고리 궐
假,亻,사람인변 인
假,叚,빌릴 가
街,行,다닐 행
街,圭,서옥 규
暇,日,날 일
暇,叚,빌릴 가
佳,亻,사람인변 인
佳,圭,서옥 규
架,木,나무 목
架,加,더할 가
各,口,입 구
各,夂,뒤쳐져 올 치
角,⺈,칼도 도
角,用,쓸 용
刻,刂,선칼도방 도
刻,亥,돼지 해
覺,見,볼 견
覺,𦥯,배울 학
脚,⺼,육달월 월
脚,却,물리칠 각
閣,門,문 문
閣,各,각각 각
却,卩,병부 절
却,去,갈 거
間,門,문 문
間,日,날 일
簡,𥫗,대죽 죽
簡,間,사이 간
看,手,손 수
看,目,눈 목
干,干,방패 간
刊,刂,선칼도방 도
刊,干,방패 간
幹,干,방패 간
幹,倝,햇빛 빛나는 모양 간
懇,心,마음 심
懇,貇,간절할 간
肝,⺼,육달월 월
肝,干,방패 간
姦,女,여자 녀(여)
姦,奻,송사할 난
渴,氵,삼수변 수
渴,曷,어찌 갈
感,心,마음 심
感,咸,다 함
減,氵,삼수변 수
減,咸,다 함
監,皿,그릇 명
監,臣,신하 신
監,𠂉,-
監,一,한 일
甘,廿,스물 입
甘,一,한 일
敢,丅,아래 하
敢,耳,귀 이
敢,攵,칠 복
鑑,金,쇠 금
鑑,監,볼 감
甲,日,날 일
甲,丨,뚫을 곤
江,氵,삼수변 수
江,工,장인 공
強,弓,활 궁
強,𧈧,비록 수
講,言,말씀 언
講,冓,짤 구
康,广,집 엄
康,隶,미칠 이
降,阝,좌부변 부
降,夅,항복할 항
剛,刂,선칼도방 도
剛,岡,산등성이 강
綱,糹,가는 실 멱
綱,岡,산등성이 강
鋼,金,쇠 금
鋼,岡,산등성이 강
開,門,문 문
開,开,열 개
改,攵,칠 복
改,己,몸 기
個,亻,사람인변 인
個,固,굳을 고
槪,木,나무 목
槪,既,이미 기
介,𠆢,사람 인
介,八,여덟 팔
蓋,艹,초두머리 초
蓋,盍,덮을 합
皆,白,흰 백
皆,比,견줄 비
慨,忄,심방변 심
慨,旣,이미 기
客,宀,집 면
客,各,각각 각
車,申,거듭 신
車,二,두 이
擧,手,손 수
擧,與,더불 여
去,厶,사사 사
去,土,흙 토
拒,扌,재방변 수
拒,巨,클 거
居,尸,주검 시
居,古,옛 고
據,扌,재방변 수
據,豦,큰 돼지 거
巨,巨,클 거
距,𧾷,발족 족
距,巨,클 거
件,亻,사람인변 인
件,牛,소 우
建,廴,길게 걸을 인
建,聿,붓 율
健,亻,사람인변 인
健,建,세울 건
乾,龺,-
乾,乞,빌 걸
傑,亻,사람인변 인
傑,桀,홰 걸
乞,𠂉,-
乞,乙,새 을
檢,木,나무 목
檢,僉,다 첨
儉,亻,사람인변 인
儉,僉,다 첨
劍,刂,선칼도방 도
劍,僉,다 첨
格,木,나무 목
格,各,각각 각
擊,手,손 수
擊,𣪠,부딪칠 격
激,氵,삼수변 수
激,敫,노래할 교
隔,阝,좌부변 부
隔,鬲,막을 격
見,目,눈 목
見,儿,어진 사람 인
堅,土,흙 토
堅,臤,어질 현
犬,大,클 대
犬,丶,점 주
遣,辶,쉬엄쉬엄 갈 착
遣,𠳋,흙덩이 견
肩,戶,집 호
肩,⺼,육달월 월
絹,糹,가는 실 멱
絹,肙,장구벌레 연
牽,牛,소 우
牽,玄,검을 현
牽,冖,덮을 멱
結,糹,가는 실 멱
結,吉,길할 길
決,氵,삼수변 수
決,夬,터놓을 쾌
潔,氵,삼수변 수
潔,絜,헤아릴 혈
缺,缶,장군 부
缺,夬,터놓을 쾌
訣,言,말씀 언
訣,夬,터놓을 쾌
兼,八,여덟 팔
兼,一,한 일
兼,肀,붓 사
兼,丨,뚫을 곤
兼,八,여덟 팔
謙,言,말씀 언
謙,兼,겸할 겸
京,亠,돼지해머리 두
京,口,입 구
京,小,작을 소
敬,攵,칠 복
敬,苟,진실로 구
輕,車,수레 차
輕,巠,물줄기 경
競,竞,다툴 경
